file	input_loudness	input_true_peak	output_sample_rate	output_channels	output_duration
athena_isabella__y9aqMt5mOhI__candidate.mp4	-20.68	-6.03	48000	2	6.144000
charlie_white__LagqBYdGX6I__candidate.mp4	-20.78	-5.72	48000	2	6.144000
cristiano_ronaldo__IGsE3eXby1g__candidate.mp4	-23.67	-6.41	48000	2	6.144000
cristiano_ronaldo__m1xLo6hbYxU__candidate.mp4	-17.68	-0.44	48000	2	6.200000
david_goggins__-nMxwlqdl7I__candidate.mp4	-17.73	-2.12	48000	2	6.144000
emily_blunt__IZuyBeCeybk__candidate.mp4	-13.37	-0.43	48000	2	6.144000
emma_mmmenglish__-P-5RC17BHw__candidate.mp4	-17.36	-3.69	48000	2	6.144000
juli_ram__wTQ1zxnriXo__candidate.mp4	-40.94	-25.38	48000	2	6.144000
nicole_van_groningen__4e5_aL07MCc__candidate.mp4	-25.90	-8.13	48000	2	6.144000
sydney_sweeney__sU75YyIQF2s__candidate.mp4	-16.82	-2.65	48000	2	6.144000
tara_marino__mNrJO88W_U8__candidate.mp4	-29.07	-12.56	48000	2	6.144000
tom_cruise__bm1gvNQtYJQ__answer_that_question__6p12s__153f__1280x720.mp4	-20.90	-3.20	48000	2	6.130000
tom_hiddleston__c6YN5tDAVW4__candidate.mp4	-22.31	-6.60	48000	2	6.144000
tom_holland_host__1z4Haf0fjDc__candidate.mp4	-26.54	-9.50	48000	2	6.144000
unknown_man_british_education__M7RWz0xOJAg__candidate.mp4	-13.70	-1.20	48000	2	6.144000
unknown_woman_mental_health_speak__KTRwwcd-4BA__candidate.mp4	-27.32	-11.48	48000	2	6.144000
veronika__f96t2rsb4Lw__candidate.mp4	-17.24	-4.44	48000	2	6.144000
will_creator__V80RXZ2N9o0__candidate.mp4	-18.40	-3.69	48000	2	6.144000
yulisa__31Urh0XD9Mo__candidate.mp4	-19.72	-7.93	48000	2	6.144000
